,idx,x,y,z,value
292,292,-1.0,-0.0833333333333333,0.4166666666666665,-149.99999999999994
293,293,-1.0,-0.0833333333333333,0.5,-158.390625
294,294,-1.0,-0.0833333333333333,0.5833333333333333,-162.375
295,295,-1.0,-0.0833333333333333,0.6666666666666665,-161.671875
296,296,-1.0,-0.0833333333333333,0.75,-156.0
297,297,-1.0,-0.0833333333333333,0.8333333333333333,-145.07812500000003
298,298,-1.0,-0.0833333333333333,0.9166666666666664,-128.62500000000003
299,299,-1.0,-0.0833333333333333,1.0,-106.359375
300,300,-1.0,0.0,-1.0,343.0
301,301,-1.0,0.0,-0.9166666666666666,305.85937499999994
302,302,-1.0,0.0,-0.8333333333333334,268.125
303,303,-1.0,0.0,-0.75,230.078125
304,304,-1.0,0.0,-0.6666666666666667,192.0
305,305,-1.0,0.0,-0.5833333333333334,154.171875
306,306,-1.0,0.0,-0.5,116.875
307,307,-1.0,0.0,-0.4166666666666667,80.39062500000003
308,308,-1.0,0.0,-0.3333333333333333,45.00000000000002
309,309,-1.0,0.0,-0.25,10.984375
310,310,-1.0,0.0,-0.1666666666666667,-21.374999999999964
311,311,-1.0,0.0,-0.0833333333333333,-51.79687499999999
312,312,-1.0,0.0,0.0,-80.0
313,313,-1.0,0.0,0.0833333333333332,-105.70312499999996
314,314,-1.0,0.0,0.1666666666666665,-128.62499999999994
315,315,-1.0,0.0,0.25,-148.484375
316,316,-1.0,0.0,0.3333333333333332,-165.0
317,317,-1.0,0.0,0.4166666666666665,-177.89062499999997
318,318,-1.0,0.0,0.5,-186.875
319,319,-1.0,0.0,0.5833333333333333,-191.671875
320,320,-1.0,0.0,0.6666666666666665,-192.0
321,321,-1.0,0.0,0.75,-187.578125
322,322,-1.0,0.0,0.8333333333333333,-178.125
323,323,-1.0,0.0,0.9166666666666664,-163.35937500000006
324,324,-1.0,0.0,1.0,-143.0
325,325,-1.0,0.0833333333333332,-1.0,296.859375
326,326,-1.0,0.0833333333333332,-0.9166666666666666,262.625
327,327,-1.0,0.0833333333333332,-0.8333333333333334,227.57812500000009
328,328,-1.0,0.0833333333333332,-0.75,192.00000000000009
329,329,-1.0,0.0833333333333332,-0.6666666666666667,156.17187500000009
330,330,-1.0,0.0833333333333332,-0.5833333333333334,120.37500000000006
331,331,-1.0,0.0833333333333332,-0.5,84.89062500000001
332,332,-1.0,0.0833333333333332,-0.4166666666666667,50.00000000000005
333,333,-1.0,0.0833333333333332,-0.3333333333333333,15.984375000000028
334,334,-1.0,0.0833333333333332,-0.25,-16.874999999999975
335,335,-1.0,0.0833333333333332,-0.1666666666666667,-48.296874999999936
336,336,-1.0,0.0833333333333332,-0.0833333333333333,-77.99999999999997
337,337,-1.0,0.0833333333333332,0.0,-105.70312499999996
338,338,-1.0,0.0833333333333332,0.0833333333333332,-131.12499999999994
339,339,-1.0,0.0833333333333332,0.1666666666666665,-153.98437499999994
340,340,-1.0,0.0833333333333332,0.25,-174.0
341,341,-1.0,0.0833333333333332,0.3333333333333332,-190.890625
342,342,-1.0,0.0833333333333332,0.4166666666666665,-204.37499999999997
343,343,-1.0,0.0833333333333332,0.5,-214.171875
344,344,-1.0,0.0833333333333332,0.5833333333333333,-220.0
345,345,-1.0,0.0833333333333332,0.6666666666666665,-221.578125
346,346,-1.0,0.0833333333333332,0.75,-218.625
347,347,-1.0,0.0833333333333332,0.8333333333333333,-210.859375
348,348,-1.0,0.0833333333333332,0.9166666666666664,-198.0
349,349,-1.0,0.0833333333333332,1.0,-179.76562499999997
350,350,-1.0,0.1666666666666665,-1.0,256.12500000000006
351,351,-1.0,0.1666666666666665,-0.9166666666666666,224.57812500000009
352,352,-1.0,0.1666666666666665,-0.8333333333333334,192.00000000000009
353,353,-1.0,0.1666666666666665,-0.75,158.67187500000006
354,354,-1.0,0.1666666666666665,-0.6666666666666667,124.87500000000006
355,355,-1.0,0.1666666666666665,-0.5833333333333334,90.89062500000006
356,356,-1.0,0.1666666666666665,-0.5,57.00000000000004
357,357,-1.0,0.1666666666666665,-0.4166666666666667,23.48437500000008
358,358,-1.0,0.1666666666666665,-0.3333333333333333,-9.374999999999936
359,359,-1.0,0.1666666666666665,-0.25,-41.29687499999995
360,360,-1.0,0.1666666666666665,-0.1666666666666667,-71.99999999999994
361,361,-1.0,0.1666666666666665,-0.0833333333333333,-101.20312499999994
362,362,-1.0,0.1666666666666665,0.0,-128.62499999999994
363,363,-1.0,0.1666666666666665,0.0833333333333332,-153.98437499999994
364,364,-1.0,0.1666666666666665,0.1666666666666665,-176.99999999999991
365,365,-1.0,0.1666666666666665,0.25,-197.390625
366,366,-1.0,0.1666666666666665,0.3333333333333332,-214.87499999999997
367,367,-1.0,0.1666666666666665,0.4166666666666665,-229.17187499999997
368,368,-1.0,0.1666666666666665,0.5,-239.99999999999997
369,369,-1.0,0.1666666666666665,0.5833333333333333,-247.078125
370,370,-1.0,0.1666666666666665,0.6666666666666665,-250.12499999999997
371,371,-1.0,0.1666666666666665,0.75,-248.85937499999997
372,372,-1.0,0.1666666666666665,0.8333333333333333,-242.99999999999997
373,373,-1.0,0.1666666666666665,0.9166666666666664,-232.265625
374,374,-1.0,0.1666666666666665,1.0,-216.37499999999997
375,375,-1.0,0.25,-1.0,221.078125
376,376,-1.0,0.25,-0.9166666666666666,192.0
377,377,-1.0,0.25,-0.8333333333333334,161.671875
378,378,-1.0,0.25,-0.75,130.375
379,379,-1.0,0.25,-0.6666666666666667,98.390625
380,380,-1.0,0.25,-0.5833333333333334,66.00000000000001
381,381,-1.0,0.25,-0.5,33.484375
382,382,-1.0,0.25,-0.4166666666666667,1.1250000000000355
383,383,-1.0,0.25,-0.3333333333333333,-30.796874999999982
384,384,-1.0,0.25,-0.25,-62.0
385,385,-1.0,0.25,-0.1666666666666667,-92.20312499999996
386,386,-1.0,0.25,-0.0833333333333333,-121.125
387,387,-1.0,0.25,0.0,-148.484375
388,388,-1.0,0.25,0.0833333333333332,-174.0
389,389,-1.0,0.25,0.1666666666666665,-197.39062499999997
390,390,-1.0,0.25,0.25,-218.375
391,391,-1.0,0.25,0.3333333333333332,-236.671875
392,392,-1.0,0.25,0.4166666666666665,-252.0
393,393,-1.0,0.25,0.5,-264.078125
394,394,-1.0,0.25,0.5833333333333333,-272.625
395,395,-1.0,0.25,0.6666666666666665,-277.359375
396,396,-1.0,0.25,0.75,-278.0
397,397,-1.0,0.25,0.8333333333333333,-274.265625
398,398,-1.0,0.25,0.9166666666666664,-265.87500000000006
